id,comment
Ugy9j6cWwmvP0mG5HK14AaABAg,"If you thought that was nailbiting, what about a baby Ibex running down a near vertical mountain to escape a fox? 👉  <a href=""https://www.youtube.com/watch?v=vTSVzeOdj8A"">https://www.youtube.com/watch?v=vTSVzeOdj8A</a> 👈"
UgzKra-Pts8GaAKbJ2F4AaABAg,great video.
UgzFgZGfYJHe5z6jv2F4AaABAg,Subhanallah
UgyYsI5fkvYuIy0qsjF4AaABAg,Gods amazing creations💜💛💯🐐
UgxhWKwy-zqqysM7nEl4AaABAg,they crave that mineral
UgyToaUZ7YbW0G_Vjgl4AaABAg,usvsusvaush<br>Aiwbe
Ugxr-aOaKOu1UXbfZ4l4AaABAg,Human parents: oh my child is only 16 years old I have to buy him food and take care of him because he can&#39;t take care of himself. <br><br>Ibex parents: my son is 16 weeks old if he can&#39;t climb up an 86 degree incline for his salt then he is destined to die and honestly that his fault for being weak...
UgyYSYsv3p7CIRZxwrB4AaABAg,Tương tác nha bạn
UgyQGe0NBTgcHv-HuBB4AaABAg,Илтимос Актирисаларни хаети ни билмокчиман
UgwG-q76BoDeBaQt0Et4AaABAg,Как интересно!! Спасибо!!!! ;)))))))))
Ugzdrf5e8zIrJeGWt0x4AaABAg,"Man, by God.<br>Ibex, by Bethesda."
Ugyj19hPF-iaOiY2KeB4AaABAg,Mashallah
UgyBivUTCH3R2g4rZXR4AaABAg,Finally found another being who loves salt more than me.
UgzwQFIV28cpx4Zq3Bx4AaABAg,"This footage  was probably   meant for a David Attenborough documentary, but then Brain Cox stole it."
UgymY3ge3rsx_P3TiSd4AaABAg,They do this just to get salt?
UgznFtNws7yE9F8dKLN4AaABAg,Ganyu? That you?
UgxLPj6ALYUo-woY9MF4AaABAg,Imagine in future these animal gonna evolve to having a wings or can glide like flying squirrel
UgyzTwwFRH6wks1qJO14AaABAg,this stressed me out
UgxXWjmbCHK4PiPDQa54AaABAg,Excuse me<br>Please tell me the title of this song. I was very impressed.
Ugxr3uhpS05JUccHEoF4AaABAg,I&#39;m downloading this to monopolize my own brain into sleeping
